zone,start,end,text
Permanto,1,8,Vasen
Permanto,9,16,Oikea
Permanto,17,30,Vasen
Permanto,31,44,Oikea
Permanto,45,59,Vasen
Permanto,60,73,Oikea
Permanto,74,88,Vasen
Permanto,89,102,Oikea
Permanto,103,118,Vasen
Permanto,119,133,Oikea
Permanto,134,150,Vasen
Permanto,151,166,Oikea
Permanto,167,181,Vasen
Permanto,182,195,Oikea
Permanto,196,208,Vasen
Permanto,209,220,Oikea
Permanto,221,232,Vasen
Permanto,233,244,Oikea
Permanto,245,256,Vasen
Permanto,257,266,Oikea
Permanto,267,277,Vasen
Permanto,278,287,Oikea
Permanto,288,298,Vasen
Permanto,299,307,Oikea
Permanto,308,316,Vasen
Permanto,317,325,Oikea
Permanto,326,334,Vasen
Permanto,335,343,Oikea
Permanto,344,352,Vasen
Permanto,353,359,Oikea
Permanto,360,366,Vasen
Permanto,367,371,Oikea
Permanto,372,375,Vasen
Permanto,376,378,Oikea
Permanto,379,380,Vasen
Permanto,381,382,Oikea
Permanto,383,412,Vasen
Permanto,413,440,Oikea
Permanto,441,468,Vasen
Permanto,469,496,Oikea
Permanto,497,526,Vasen
Permanto,527,554,Oikea
Permanto,555,582,Vasen
Permanto,583,609,Oikea
Permanto,610,630,Vasen
Permanto,631,650,Oikea
